FID,geom,site_name,site_address,site_city,site_state,site_zip,site_region,site_area,site_pci,globalid,client_globalid,Latitude,Longitude
Sites.257,POINT (-122.20469216313639 47.367285533520125),Canyon Ridge Plaza,104th Ave. SE & SE 260th St.,Kent,WA,98030,,144541,80,{4f1e4617-24f5-4f82-9822-0ae6c3a47165},,47.36728553352010000000,-122.20469216313600000000
Sites.368,POINT (-122.31497436072134 47.321518239459756),100350 Pavilions Square,Pacific Hwy S. & S. 312th St,Federal Way,WA,98003,,450337,58,{4bc7af6a-dc2a-43a8-9e6d-abcdefab1276},,47.32151823945970000000,-122.31497436072100000000
Sites.375,POINT (-122.22329224345742 47.32022605896933),Auburn North,Auburn Way N. & 15th St. NE,Auburn,WA,98002,,357301,86,{cdcd5ec2-ee95-4fea-90f0-4cd8f9bf81de},,47.32022605896930000000,-122.22329224345700000000
Sites.627,POINT (-122.49922432264455 47.233103014165415),4720,4602 Center St,Tacoma,WA,98409,,273634,82,{67e562ca-2d32-47db-bfab-939d568f2722},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},47.23310301416540000000,-122.49922432264400000000
Sites.16,POINT (-122.46667723699994 47.213337945000035),830 - Tacoma,2214 S 48th St,Tacoma,WA,98409,,144274,80,{82AE7D37-21AD-4D1C-8B3D-50DA0DF3D23E},,47.21333794500000000000,-122.46667723699900000000
Sites.56,POINT (-122.29442670699996 47.135088934000066),Meridian Town Center,Meridian Ave E & 132nd St,Pullayup,WA,98373,,109660,58,{59373770-2F8F-406E-9ACE-B1F3599A84E5},,47.13508893400000000000,-122.29442670699900000000
Sites.431,POINT (-122.76288485247865 47.06016223795646),4742,1450 Marvin Rd NE,Lacey,VA,98516,,327888,69,{b45afb04-a2ee-4909-8b05-cc76a41b14da},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},47.06016223795640000000,-122.76288485247800000000
Sites.271,POINT (-123.8422259849896 46.96568703267337),8964,2213 Port Industrial Rd,Aberdeen,WA,98520,,275056,91,{81388d73-b46a-4c8a-9b3e-0d190ff25882},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},46.96568703267330000000,-123.84222598498900000000
Sites.185,POINT (-96.86599435099335 46.85340259103955),3701,4700 17th Avenue SW,Fargo,ND,58103,,300578,68,{a85e4d1e-940c-4a2c-9576-84ae992e39e0},,46.85340259103950000000,-96.86599435099330000000
Sites.90,POINT (-96.11335430369051 46.28757578558806),,2025 W Lincoln Ave West,Fergus Falls,MN,56537,,395610,0,{8b4998f8-bb84-4d1b-b7a0-6b75d129818d},,46.28757578558800000000,-96.11335430369050000000
Sites.198,POINT (-119.29416839343689 45.85374815406102),4031,300 W Harper Rd.,Hermiston,OR,97838,,244177,79,{5aceb770-93f9-4b96-903f-64aa3803c66f},,45.85374815406100000000,-119.29416839343600000000
Sites.297,POINT (-88.03324777500112 45.807660720272914),2775,W8141 US-2,Iron Mountain,MI,49801,,276226,92,{a60f062f-c0ff-47dd-a3c6-f00b743d2a94},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},45.80766072027290000000,-88.03324777500110000000
Sites.415,POINT (-122.685127276644 45.61253558824588),Jantzen Beach Center,N. Hayden Island Dr. & N. Center Ave. ,Portland,OR,97217,,1582539,79,{637a09a7-5046-4015-be56-a46134d522bc},,45.61253558824580000000,-122.68512727664400000000
Sites.610,POINT (-122.68641357090652 45.612295270082434),4007,1728 N Tomahawk Island Dr,Portland,OR,97217,,244382,65,{da982644-0002-4ef7-a025-5f1741b4b2cf},,45.61229527008240000000,-122.68641357090600000000
Sites.600,POINT (-122.8688487338852 45.536138477013644),"115330 - Tanasbourne Village
","NW Evergreen Pkwy, NW 185th Ave",Hillsboro,OR,97124,,481568,27,{5d0aeda9-7bc9-4f1b-bd95-765db53beab3},{9332e7f4-c292-4480-af81-dacc89da5a87},45.53613847701360000000,-122.86884873388500000000
Sites.401,POINT (-122.43402429379393 45.50243913185406),115180 Gresham Town Fair,"NW Eastman Pkwy. &, NW Division St.",Gresham,OR,97030,,618852,63,{128c9d7e-1ac6-88ba-12e6-127badcce781},,45.50243913185400000000,-122.43402429379300000000
Sites.284,POINT (-122.41025591360582 45.499812842660944),Oregon Trail Center,NE Burnside Rd. & NE Hogan Dr.,Gresham,OR,97030,,432152,37,{8a19543f-4548-4578-898d-f797e062ba6b},,45.49981284266090000000,-122.41025591360500000000
Sites.358,POINT (-122.62668414241664 45.44331087679099),Milwaukie Marketplace,Hwy. 224 & SE Oak St.,Milwaukie,OR,97222,,388535,49,{23c305b2-2cb9-462a-8cfa-9605072f8360},,45.44331087679090000000,-122.62668414241600000000
Sites.437,POINT (-122.5725304529265 45.43188495939166),Clackamas Promenade ,Sunnyside Rd. & I-205,Clackamas,OR,97015,,658554,37,{bd39f6f8-2e27-4f65-8dbe-a1b72db5f64d},,45.43188495939160000000,-122.57253045292600000000
Sites.604,POINT (-93.4442861569456 45.09631473946275),Arbor Lakes Retail Center,Elm Creek Blvd & Main St. N,Maple Grove,MN,55369,,1164490,64,{ffb726bc-8227-4dd6-a0a6-46f763c5a3c2},{9332e7f4-c292-4480-af81-dacc89da5a87},45.09631473946270000000,-93.44428615694560000000
Sites.523,POINT (-93.42520052861387 45.09105677725852),The Fountains at Arbor Lakes,I-94 & Hemlock Lane N.,Maple Grove,MN,55369,,1083998,52,{cd6aa3e7-a3c9-43f2-a5f5-08fbdebd6d16},,45.09105677725850000000,-93.42520052861380000000
Sites.385,POINT (-93.23409649882973 45.00449341868726),2807,1520 New Brighton Blvd,Minneapolis,MN,55413,,272777,43,{004690e5-3288-4499-8c9e-9433ba14f58e},,45.00449341868720000000,-93.23409649882970000000
Sites.491,POINT (-93.45646826316876 44.97254267224956),105520 - Ridgedale Festival Center,Wayzata Blvd.& I-394,Minnetonka,MN,55305,,238342,46,{1cd398ae-23b5-34ed-28ad-ff98be37882d},,44.97254267224950000000,-93.45646826316870000000
Sites.353,POINT (-92.7247629549214 44.958208462964535),4935,2330 Crest View Dr.,Hudson,WI,54016,,230585,63,{e2a226f1-44c1-4745-832c-c5b5a582a2f2},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},44.95820846296450000000,-92.72476295492140000000
Sites.305,POINT (-89.66896033762113 44.95066737789984),4931,2705 Sherman St,Wausau,WI,54401,,248347,38,{ab72bc9e-23be-bd0c-ac34-1287ba92bb29},,44.95066737789980000000,-89.66896033762110000000
Sites.101,POINT (-122.98278376019569 44.91296221202148),4006,Southeast Mill Creek,Salem,OR,97317,,308313,,{ffbbe0ec-7dce-41cf-b028-879bf371a9f9},,44.91296221202140000000,-122.98278376019500000000
Sites.15,POINT (-91.43235293299995 44.77383237300006),40 - Eau Claire,4090 Commonwealth Ave,Eau Claire,WI,54701,,124852,,{20EE8EEF-D6BB-487A-AE81-1CF8C4DE3415},,44.77383237300000000000,-91.43235293299990000000
Sites.314,POINT (-93.41180935450312 44.773359098183),2841,1701 Co Rd 18,Shakopee,MN,55379,,288076,58,{07666608-ddd9-4362-bd0a-37a8e57cbfb0},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},44.77335909818300000000,-93.41180935450310000000
Sites.393,POINT (-93.19953911577949 44.73010639445175),2833,15101 Flagstaff Ave. ,Apple Valley,MN,55124,,313052,54,{c0a22c34-2e59-4f0e-bcc9-ba4ee6ab6b37},,44.73010639445170000000,-93.19953911577940000000
Sites.526,POINT (-63.671768240515625 44.65675027871153),The Home Depot Store 7126,386 Lacewood Dr.,Halifax,NS,B3S1L8,,210913,52,{9c771604-b662-468a-ae4e-bcae6f31379b},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},44.65675027871150000000,-63.67176824051560000000
Sites.100,POINT (-68.3986544770825 44.528182636559016),The Home Depot - Store 2408,56 Myrick St,Ellsworth,ME,4605,,323054,,{26b3bb95-5d9f-4c3b-a820-864ef130b0de},,44.52818263655900000000,-68.39865447708250000000
Sites.143,POINT (-71.80405356907077 44.29706500957453),8539,859 Meadow St. ,Littleton,NH,3561,,254049,70,{e70a295e-fd49-4903-9446-7150f80a8aed},,44.29706500957450000000,-71.80405356907070000000
Sites.251,POINT (-85.40863430768712 44.28373713277452),2752,3786 S Mackinaw Trail,Cadillac,MI,49601,,287999,67,{6132dfc3-b206-45b7-a4d4-85a277289e5a},,44.28373713277450000000,-85.40863430768710000000
Sites.190,POINT (-84.2298920264448 44.25163195987802),2782,2892 Cook Rd.,West Branch,MI,48661,,277892,64,{02a8a0bd-c819-4d35-9d8c-ca3fd4e1a804},,44.25163195987800000000,-84.22989202644480000000
Sites.264,POINT (-88.3614274037518 44.24210421339131),4928,2201 S Kensington Dr Ave,Appleton,WI,54915,,284941,72,{86951141-2a22-4849-b7da-33dabdbadc85},,44.24210421339130000000,-88.36142740375180000000
Sites.454,POINT (-92.50576090787892 44.08085318024484),Fazoli's - Rochester,5550 US-52,Rochester,MN,55901,,26860,15,{8c45a096-bcbe-4eb1-83fc-83926d2c208b},,44.08085318024480000000,-92.50576090787890000000
Sites.623,POINT (-71.11484158518988 44.02831106489067),3407,53 Barnes Rd.,North Conway,NH,3860,,279593,69,{4d29d64d-8715-4c0f-b361-3fa52ef826c6},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},44.02831106489060000000,-71.11484158518980000000
Sites.529,POINT (-79.44627019458659 44.00712790167372),7135,15360 Bayview Ave,Aurora,ON,,,276610,25,{be4a9de7-500d-46dc-aa82-6b04053638c4},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},44.00712790167370000000,-79.44627019458650000000
Sites.179,POINT (-75.94369159791505 43.986109960057036),6174,391 College Heights,Watertown,NY,13601,,304947,41,{bab60761-601b-4b47-8523-535ab63295d4},,43.98610996005700000000,-75.94369159791500000000
Sites.178,POINT (-75.94369159791505 43.986109960057036),6174,391 College Heights,Watertown,NY,13601,,,,{74825a8d-751e-449a-8870-a2916e34fd45},,43.98610996005700000000,-75.94369159791500000000
Sites.616,POINT (-78.84561847822685 43.94348386130594),7123,1481 Harmony Rd N,Oshawa,ON,71H7K5,,315548,36,{a6a0b021-b886-451a-bad5-1598c12d17fb},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.94348386130590000000,-78.84561847822680000000
Sites.159,POINT (-69.98027235600694 43.933440937521326),2410,154 Topsham Fair Mall Rd,Topsham,ME,4086,,318298,95,{31bd6fa5-6bf3-4640-9534-c35ee36c2706},,43.93344093752130000000,-69.98027235600690000000
Sites.572,POINT (-78.70958413332389 43.91113082237255),Store 7240,120 Clarington Blvd,Bowmanville,ON,L1C0C3,,195188,54,{5b825cfe-7a7a-440c-8b30-109be09910b1},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.91113082237250000000,-78.70958413332380000000
Sites.548,POINT (-79.29736511832753 43.76304565817755),Store 7001,428 Ellesmere Road,Scarborough,ON,M1R 4E6,,294690,27,{b25b17c5-b350-4251-ad4c-8d4a8d1fd461},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.76304565817750000000,-79.29736511832750000000
Sites.186,POINT (-84.24058830865779 43.663289213401704),2747,1100 Joe Mann Blvd,Midland,MI,48642,,294305,94,{b08f42d6-83a2-41c1-bb45-c8c91952a4b6},,43.66328921340170000000,-84.24058830865770000000
Sites.19,POINT (-72.32850098416155 43.62265767506442),3406,296 N Plainfield Rd,West Lebanon,NH,3184,,321878,65,{93ae9fab-5fd9-43b4-b996-ad58db102abf},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.62265767506440000000,-72.32850098416150000000
Sites.335,POINT (-84.73635971044475 43.61004716628053),2732,5650 E Pickard Rd,Mt Pleasant ,MI,48858,,294591,5,{ca0cad55-a238-4f4d-9fc9-3a4478357164},,43.61004716628050000000,-84.73635971044470000000
Sites.472,POINT (-88.18514494167795 43.399420811754496),4925,700 W Paradise Dr,West Bend,WI,53095,,209710,74,{e56f8c2c-a4e2-4119-bf15-ef061ebac9bc},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.39942081175440000000,-88.18514494167790000000
Sites.160,POINT (-72.31003300226399 43.359782157108796),3408,451 Washington St.,Claremont,NH,3743,,310449,69,{2782dbc4-5a29-49ac-ab9c-66610c77df00},,43.35978215710870000000,-72.31003300226390000000
Sites.108,POINT (-73.67652348525982 43.33360952410737),6160,"1323, 820 US-9",Queensbury ,NY,12804,,269040,89,{3344cde5-d507-4895-ac0c-275cdafe5cfb},,43.33360952410730000000,-73.67652348525980000000
Sites.145,POINT (-73.67652348525982 43.33360952410737),6160,"1323, 820 US-9",Queensbury ,NY,12804,,269040,89,{4238524d-9f10-486a-9198-b223c64d31e5},,43.33360952410730000000,-73.67652348525980000000
Sites.614,POINT (-70.9929435340997 43.30894553932493),3489,280 N Main St,Rochester,NH,3867,,256648,41,{904c1821-d06b-4550-931e-7c5ef5ddc1d7},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.30894553932490000000,-70.99294353409970000000
Sites.106,POINT (-77.58722003404034 43.196366497926135),The Home Depot Store 1248,601 South Sprain Rd,Yonkers,NY,10710,,259311,39,{61abee31-ae65-4268-8662-01713738bd5c},,43.19636649792610000000,-77.58722003404030000000
Sites.218,POINT (-70.79527454262956 43.08648968820567),3409,100 Arthur F Brady Dr.,Portsmouth,NH,3801,,267687,60,{2bd86fee-ca09-4bc5-88d0-d24140765f02},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.08648968820560000000,-70.79527454262950000000
Sites.213,POINT (-86.21769948984857 43.06564308463454),HD 2780,900 Jackson St.,Grand Haven,MI,49417,,291379,76,{dfeb10f2-14d7-422d-9cac-ee96933dcd09},,43.06564308463450000000,-86.21769948984850000000
Sites.352,POINT (-83.32320303083266 43.04571201579688),2736,1500 Summit Dr,Lapeer,MI,48446,,286788,77,{3577b22d-883e-4ca5-882d-e38f643ec971},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.04571201579680000000,-83.32320303083260000000
Sites.629,POINT (-71.45990959559559 43.04336668321453),3403,"Home Depot, 300 Quality Dr",Hooksett,NH,3106,,313423,73,{fef83690-564f-4f6b-bbeb-6fe632236ccf},,43.04336668321450000000,-71.45990959559550000000
Sites.582,POINT (-81.25688255831928 43.035688491936334),7009,600 Fanshawe Park Rd. E.,London,ON,,,296487,30,{cb21c5cb-0dca-4ccd-92c3-94a3bdfd45cf},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},43.03568849193630000000,-81.25688255831920000000
Sites.365,POINT (-84.12236249379923 42.99932335615998),2772,2205 East M21,Owosso,MI,48867,,253791,80,{31ea2ab4-7bc2-4840-acb4-27ea7d4bd276},,42.99932335615990000000,-84.12236249379920000000
Sites.625,POINT (-81.2834571495926 42.93758356211184),7033,3035 Wonderland Rd S,London,ON,N6L 1R4,,262380,37,{4871ddaa-66e0-403e-94a1-fc39bb14e124},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},42.93758356211180000000,-81.28345714959260000000
Sites.373,POINT (-85.67048999058646 42.86787979372023),2761,257 54th St SW,Wyoming,MI,49548,,357712,92,{fa184ec4-5c55-437e-8d76-67bae81cd617},,42.86787979372020000000,-85.67048999058640000000
Sites.117,POINT (-71.10921211113278 42.82644886007615),The Home Depot - Store 3487,58 Plaistwow Rd,Plaistow,NH,3865,,477970,,{7bfdca16-11a1-4fd1-8e89-e4cb6ea43b08},,42.82644886007610000000,-71.10921211113270000000
Sites.115,POINT (-71.10921211113278 42.82644886007615),The Home Depot - Store 3487,58 Plaistwow Rd,Plaistow,NH,3865,,477970,70,{7bfdca16-11a1-4fd1-8e89-e4cb6ea43b08},,42.82644886007610000000,-71.10921211113270000000
Sites.119,POINT (-71.10921211113278 42.82644886007615),The Home Depot - Store 3487,58 Plaistwow Rd,Plaistow,NH,3865,,238985,70,{5afdca16-17a1-4fd1-8e89-e4cb6ea43b08},,42.82644886007610000000,-71.10921211113270000000
Sites.398,POINT (-71.22051700408359 42.76627422757046),Rockingham Plaza,Rte. 28 & Rockingham Blvd.,Salem,NH,3079,,793558,47,{606f9c0c-54d2-489a-bfc7-ee8635e10d5e},,42.76627422757040000000,-71.22051700408350000000
Sites.196,POINT (-83.2472603257061 42.74316271067358),2743,2600 S Lapeer Rd,Lake Orion,MI,48360,,243446,38,{25ad3d24-6bc2-4640-acd4-27fa7debba76},,42.74316271067350000000,-83.24726032570610000000
Sites.490,POINT (-71.43854602219993 42.70807957445341),Webster Square,Daniel Webster Hwy & Danford Rd.,Nashua,NH,3060,,381367,64,{1301d3b5-c921-484c-9dac-45a99100e8d0},{9332e7f4-c292-4480-af81-dacc89da5a87},42.70807957445340000000,-71.43854602219990000000
Sites.467,POINT (-71.43939309181266 42.70761834074203),Webster Square,Daniel Webster Hwy. & Danford Rd.,Nashua,NH,3060,,393377,47,{19b3bebc-7105-486e-9ab7-36502d497d79},{9332e7f4-c292-4480-af81-dacc89da5a87},42.70761834074200000000,-71.43939309181260000000
Sites.32,POINT (-83.29882409099997 42.70668626200006),449 Auburn Hills,300 Brown Road,Auburn,MI,48326,,111597,19,{89A0627A-8476-45F3-B04C-4343764AA6C7},,42.70668626200000000000,-83.29882409099990000000
Sites.632,POINT (-71.43784150834861 42.705023375047446),3481,288 Daniel Webster Hwy,Nashua,NH,3060,,241738,28,{6e2a8b00-33db-4cf9-8071-020ecea5856f},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},42.70502337504740000000,-71.43784150834860000000
Sites.109,POINT (-73.84822016135412 42.69821313991476),1241,161 R Washington Ave Ext ,Albany,NY,12205,,230793,,{349f0270-d8b0-46ac-a24e-3e9a5dea073b},,42.69821313991470000000,-73.84822016135410000000
Sites.192,POINT (-83.88809020000951 42.590592288970925),2751,3330 E Grand River Ave,Howell,MI,48843,,247943,88,{c29f7304-2aa7-4a0c-8b4b-f56607e42779},,42.59059228897090000000,-83.88809020000950000000
Sites.194,POINT (-83.88809020000951 42.590592288970925),2751,3330 E Grand River Ave,Howell,MI,48843,,247608,88,{92847194-4c46-47fd-8bab-f1ace64a0f4b},,42.59059228897090000000,-83.88809020000950000000
Sites.504,POINT (-70.97784148140559 42.56353737582117),2663,92 Newbury St,Danvers,MA,1923,,250225,77,{ad35c007-0a48-4f68-abf0-e2d4386227ad},,42.56353737582110000000,-70.97784148140550000000
Sites.86,POINT (-70.93843471499997 42.553064524000035),,230 Independence Way,Danvers,MA,1923,111016,111016,38,{ED616646-106B-4686-B215-E4E76287AC8C},,42.55306452400000000000,-70.93843471499990000000
Sites.41,POINT (-83.10585062599995 42.52984505200004),Best Buy Oakland Mall 414,32320 John R Rd,Madison Heights,MI,48071,,86408,47,{C88A1B19-5CB5-47DF-85EC-57523742BA7A},,42.52984505200000000000,-83.10585062599990000000
Sites.409,POINT (-71.12531291429323 42.504289768266176),Waashington St. S.C.,Washington St. & Montvale Ave.,Woburn,MA,1801,,223734,57,{af0187f4-e6d3-4d90-a2b7-d884e45d68b0},{9332e7f4-c292-4480-af81-dacc89da5a87},42.50428976826610000000,-71.12531291429320000000
Sites.175,POINT (-83.5206790751719 42.49256120875921),2737,47950 Grand River Ave,Novi,MI,48374,,299664,45,{36536366-df8b-4872-9fdb-8f567934848a},,42.49256120875920000000,-83.52067907517190000000
Sites.413,POINT (-70.8992736009004 42.48561273211854),"117350 - Paradise Plaza
",Paradise Rd. & Vinnin St.,Salem,MA,1970,,126876,44,{d2390ef2-1e7f-45ac-bc82-650ac4aaec3e},{9332e7f4-c292-4480-af81-dacc89da5a87},42.48561273211850000000,-70.89927360090040000000
Sites.399,POINT (-70.90153454876938 42.481288219899845),Vinnin Square Plaza,Paradise Rd. & Vinnin St.,Swampscott,MA,1907,,165861,57,{9d9edfe8-3eef-46ee-a3ed-d6664d97ea26},{9332e7f4-c292-4480-af81-dacc89da5a87},42.48128821989980000000,-70.90153454876930000000
Sites.163,POINT (-79.3135530009597 42.45769324418206),6169,3901 Vineyard Dr,Dunkirk,NY,14048,,249552,87,{a12fbffb-f157-4955-a32f-838d03e7b0db},,42.45769324418200000000,-79.31355300095970000000
Sites.379,POINT (-92.33498666308897 42.454374714090974),2101,1050 Southtown Dr.,Waterloo,IA,50702,,360027,82,{b746a3a5-30a8-4efd-8897-e5f787c52887},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},42.45437471409090000000,-92.33498666308890000000
Sites.188,POINT (-85.66386166102318 42.45130285926193),2771,1227 M-89,Plainwell,MI,49080,,233993,82,{934a5542-b000-4809-b8fa-cac00ab05285},,42.45130285926190000000,-85.66386166102310000000
Sites.137,POINT (-75.06046563774169 42.44552455243111),6173,659 NY-28,Oneonta,NY,13820,,221509,38,{a364c1ea-7b89-4c02-aa49-1e183c67cf1a},,42.44552455243110000000,-75.06046563774160000000
Sites.189,POINT (-83.16952545055517 42.42908013030258),2781,18700 Meyers Rd,Detroit,MI,48235,,277231,51,{6bd3206a-368d-4ae2-a6aa-56672f7ef0ea},,42.42908013030250000000,-83.16952545055510000000
Sites.377,POINT (-71.04718301834741 42.414995949390004),Glendale Square,Ferry St. & Broadway,Everett,MA,2149,,57414,54,{81cbb53a-2918-453b-a7b8-bebb4614fb4c},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},42.41499594939000000000,-71.04718301834740000000
Sites.302,POINT (-71.08356353872897 42.40668549260657),117240 Fellsway @ 630,Fellsway & Mystic Valley Pkwy,Medford,MA,2155,,131740,49,{ab71c53e-49d6-4452-9162-839912ba5b28},,42.40668549260650000000,-71.08356353872890000000
Sites.628,POINT (-71.02465460270432 42.403844287208585),8979,1100 Revere Beach Pkwy,Chelsea,MA,2150,,205483,39,{da8f8639-af06-436a-9542-84add65642ef},,42.40384428720850000000,-71.02465460270430000000
Sites.540,POINT (-71.26729496971525 42.39326592557032),2674,100 First Avenue,Waltham,MA,2451,,323607,61,{cca123f7-2b8d-4585-8992-4de5234c8d22},,42.39326592557030000000,-71.26729496971520000000
Sites.195,POINT (-83.51344538209841 42.3930435764834),2762,47725 Five Mile Rd,Plymouth,MI,48170,,282697,93,{698f3d98-abcb-4d16-81fe-7a25664b2954},,42.39304357648340000000,-83.51344538209840000000
Sites.167,POINT (-88.06386694613369 42.385251865733714),8431,2050 N Illinois 83,Round Lake Beach,IL,60073,,273335,21,{b7799e92-ce8a-4c35-912a-6e10d244414b},,42.38525186573370000000,-88.06386694613360000000
Sites.191,POINT (-83.32841299640666 42.3809839429296),2742,13500 Middlebelt Rd,Livonia,MI,48150,,362664,87,{86f7a9f3-bbe3-42fe-9744-9f9664f3b1b0},,42.38098394292960000000,-83.32841299640660000000
Sites.383,POINT (-71.22328617146464 42.37875391425304),117280 Linden Plaza,Linden St & Main St,Waltham,MA,2452,,87405,34,{b238a1ba-5d89-2b02-ad29-1e183c63b8fa},,42.37875391425300000000,-71.22328617146460000000
Sites.349,POINT (-89.02342718894414 42.36749795609352),1956,1580 West Lane Rd.,Machesney Park,IL,61115,,285833,92,{d2aec7a0-2cab-43fc-b896-600bed7b463d},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},42.36749795609350000000,-89.02342718894410000000
Sites.113,POINT (-88.16541213853742 42.36241724227522),1944,2731 Hartigan Rd,Ingleside,IL,60041,,254743,40,{42d42e3d-098b-47fc-89e4-ec8ad13b378d},,42.36241724227520000000,-88.16541213853740000000
Sites.116,POINT (-88.27016493755804 42.36212717158659),1969,2461 N Richmond Rd,McHenry,IL,60051,,327537,39,{c13f4824-635b-4f17-8203-997e367c5446},,42.36212717158650000000,-88.27016493755800000000
Sites.613,POINT (-72.55203496279309 42.35960312375066),8452,350 Russell St,Hadley,MA,1035,,278243,42,{49360a26-57ab-4f27-8c53-b3b0dbe15be6},{9b4a0617-081d-4cb9-89ce-f5a31ccd9a61},42.35960312375060000000,-72.55203496279300000000
